time,x,y,z
1713291531770, -4.14195, 7.7560506, 15.703951
1713291531824, -4.02, 7.48995, 13.992001
1713291531834, -2.403, 7.2580504, 11.15295
1713291531838, -0.92595005, 7.51905, 8.533051
1713291531844, 0.38700002, 7.9429502, 6.3810005
1713291531905, 1.67295, 8.316, 4.6590004
1713291531915, 2.35095, 8.56995, 2.80095
1713291531923, 3.045, 8.842951, 0.61305004
1713291531928, 3.081, 9.295951, -3.2290502
1713291531986, 1.9750501, 9.53505, -6.8299503
1713291531996, 0.90900004, 8.710951, -6.8230505
1713291532001, 0.57405, 7.7029505, -4.833
1713291532004, -0.53805, 6.8650503, -1.7590501
1713291532066, -1.8570001, 6.2359505, 0.558
1713291532076, -2.80095, 5.71605, 2.6790001
1713291532080, -3.2010002, 5.532, 5.3590503
1713291532084, -3.9810002, 5.769, 8.37495
1713291532147, -4.881, 6.051, 10.408051
1713291532153, -6.261, 6.2410502, 13.08195
1713291532156, -5.85405, 6.05595, 15.460051
1713291532159, -4.446, 6.2190003, 13.828951
1713291532164, -3.5170503, 6.4750504, 9.522
1713291532228, -1.48905, 7.2460504, 6.19395
1713291532232, 1.86195, 8.314051, 3.9910502
1713291532234, 4.695, 9.20205, 2.22195
1713291532239, 5.511, 9.84405, -0.44700003
1713291532308, 4.5870004, 9.727051, -3.5140502
1713291532316, 2.1660001, 9.03195, -3.5830503
1713291532319, -0.069000006, 7.96395, -0.55395
1713291532322, -1.7689501, 7.2750006, 2.9310002
1713291532389, -2.18805, 6.9490504, 6.2640004
1713291532395, -0.021000002, 7.1190004, 7.4080505
1713291532397, 1.0669501, 7.392, 7.2670503
1713291532401, 0.48105, 7.7850003, 5.715
1713291532471, -0.165, 8.170051, 4.65705
1713291532480, 0.47400004, 8.56095, 4.2910504
1713291532483, 1.5319501, 8.842951, 4.2520504
1713291532488, 1.8499501, 8.946, 4.635
1713291532551, 1.5490501, 8.83395, 5.05905
1713291532557, 1.3120501, 8.70405, 5.33895
1713291532560, 1.5649501, 8.623051, 5.4949503
1713291532563, 1.8889501, 8.53905, 5.313
1713291532568, 1.7040001, 8.48595, 5.27895
1713291532631, 1.4980501, 8.38095, 5.30805
1713291532637, 1.58895, 8.2900505, 5.256
1713291532641, 1.3039501, 8.235001, 5.136
1713291532646, 1.02705, 8.154, 4.887
1713291532712, 0.95205003, 8.094001, 4.9159503
1713291532718, 1.146, 8.08695, 4.8700504
1713291532721, 0.98100007, 8.082001, 4.97805
1713291532726, 0.80895007, 8.06505, 5.0539503
1713291532792, 0.79200006, 8.08695, 4.8960004
1713291532800, 0.76095, 8.139, 4.602
1713291532802, 0.75600004, 8.190001, 4.70505
1713291532806, 0.72495, 8.21805, 5.241
1713291532873, 1.5990001, 8.38305, 5.8300505
1713291532880, 1.2780001, 8.54895, 5.8489504
1713291532882, 1.2589501, 8.55795, 5.394
1713291532887, 1.2229501, 8.467051, 5.1550503
1713291532953, 1.01505, 8.323951, 5.361
1713291532962, 0.96000004, 8.043, 5.61
1713291532965, 0.82995003, 8.19705, 5.418
1713291532971, 0.09, 7.8520503, 5.6239505
1713291532977, 0.19605, 7.8780003, 5.3970003
1713291533035, 0.35895002, 7.96395, 5.57205
1713291533041, 0.68700004, 7.9879503, 5.9500504
1713291533045, 0.804, 8.190001, 5.7970505
1713291533047, 0.75600004, 8.175, 5.61495
1713291533115, 0.17895001, 8.127001, 5.23605
1713291533123, 0.112050004, 7.9909506, 5.136
1713291533127, 0.411, 7.9620004, 5.2819505
1713291533132, 0.64095, 7.9020004, 5.445
1713291533197, 0.83505005, 7.9450502, 5.66295
1713291533204, 0.88500005, 8.02005, 5.61495
1713291533207, 0.73695004, 7.9930506, 5.3749504
1713291533209, 0.83805007, 8.043, 5.30805
1713291533278, 1.0030501, 8.161051, 5.2050004
1713291533285, 0.97605, 8.21805, 5.32695
1713291533287, 0.78195006, 8.194051, 5.2600503
1713291533288, 0.71505004, 8.091001, 5.32695
1713291533357, 0.81600004, 8.06295, 5.53095
1713291533367, 0.92805004, 8.05305, 5.57595
1713291533373, 0.82305, 8.04105, 5.4760504
1713291533376, 0.66795003, 8.047951, 5.4640503
1713291533379, 0.75600004, 8.0460005, 5.3590503
1713291533437, 0.65805006, 8.002951, 5.2170005
1713291533442, 0.85695004, 8.08905, 5.2000504
1713291533446, 1.07895, 8.170051, 5.0659504
1713291533449, 1.2060001, 8.24505, 4.9729505
